ID     | Command line                                                                                                                                                                       | Date and time    | Action(s)      | Altered
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    75 | install -y sway                                                                                                                                                                    | 2021-02-15 16:19 | Install        |    7   
    74 | upgrade                                                                                                                                                                            | 2021-02-15 11:02 | E, I, U        |   25   
    73 | install playerctl                                                                                                                                                                  | 2021-02-15 11:01 | Install        |    2   
    72 | install -y htop                                                                                                                                                                    | 2021-02-15 02:06 | Install        |    1   
    71 | install -y xfce4-power-manager                                                                                                                                                     | 2021-02-13 22:38 | Install        |    1   
    70 | install -y paprefs                                                                                                                                                                 | 2021-02-13 16:02 | Install        |    2   
    69 | install -y pavumeter                                                                                                                                                               | 2021-02-13 16:01 | Install        |    1   
    68 | install -y paman                                                                                                                                                                   | 2021-02-13 16:01 | Install        |    4   
    67 | install -y pavucontrol                                                                                                                                                             | 2021-02-13 15:57 | Install        |    1   
    66 | install -y libconfig-devel                                                                                                                                                         | 2021-02-13 14:14 | Install        |    1   
    65 | install libX11-devel                                                                                                                                                               | 2021-02-13 14:11 | Install        |    4   
    64 | install screenkey                                                                                                                                                                  | 2021-02-13 13:59 | Install        |    2   
    63 | -y install virt-manager                                                                                                                                                            | 2021-02-12 21:35 | Install        |    1   
    62 | -y install virt-top libguestfs-tools                                                                                                                                               | 2021-02-12 21:35 | Install        |   26   
    61 | -y install bridge-utils libvirt virt-install qemu-kvm                                                                                                                              | 2021-02-12 21:35 | Install        |   13   
    60 | -y install podman                                                                                                                                                                  | 2021-02-12 21:32 | Install        |   11   
    59 | install -y https://rpm.rancher.io/k3s/stable/common/centos/7/noarch/k3s-selinux-0.2-1.el7_8.noarch.rpm                                                                             | 2021-02-12 21:03 | Install        |    1   
    58 | install -y docker-ce docker-ce-cli containerd.io                                                                                                                                   | 2021-02-12 20:32 | Install        |    8 EE
    57 | remove docker docker-client docker-client-latest docker-common docker-latest docker-latest-logrotate docker-logrotate docker-selinux docker-engine-selinux docker-engine           | 2021-02-12 20:32 | Removed        |    8 EE
    56 | update                                                                                                                                                                             | 2021-02-12 20:28 | I, O, U        |  137 EE
    55 | install -y emoji-picker                                                                                                                                                            | 2021-02-12 12:49 | I, U           |    2   
    54 | install -y seahorse                                                                                                                                                                | 2021-02-11 19:56 | Install        |    1   
    53 | install -y gimp                                                                                                                                                                    | 2021-02-11 18:20 | Install        |   10   
    52 | install dotnet-sdk-3.1                                                                                                                                                             | 2021-02-10 22:38 | Install        |    9 EE
    51 | install aspnetcore-runtime-5.0                                                                                                                                                     | 2021-02-10 22:21 | Install        |    6   
    50 | remove -y k3s-selinux                                                                                                                                                              | 2021-02-10 14:28 | Removed        |    1 EE
    49 | install -y https://rpm.rancher.io/k3s/stable/common/centos/7/noarch/k3s-selinux-0.2-1.el7_8.noarch.rpm                                                                             | 2021-02-10 14:18 | Install        |    1   
    48 | install -y -q docker-ce                                                                                                                                                            | 2021-02-10 14:06 | Install        |    8 EE
    47 | remove docker docker-client docker-client-latest docker-common docker-latest docker-latest-logrotate docker-logrotate docker-selinux docker-engine-selinux docker-engine           | 2021-02-10 14:05 | Removed        |   15   
    46 | remove docker                                                                                                                                                                      | 2021-02-10 14:05 | Removed        |   11 EE
    45 | install moby-engine docker-compose                                                                                                                                                 | 2021-02-10 13:58 | Install        |   23   
    44 | install kubernetes                                                                                                                                                                 | 2021-02-10 13:09 | Install        |    9 EE
    43 | install java-11-openjdk                                                                                                                                                            | 2021-02-10 13:02 | Install        |    3   
    42 | install -y ImageMagick                                                                                                                                                             | 2021-02-09 23:16 | Install        |   10   
    41 | reinstall xfce4-notifyd                                                                                                                                                            | 2021-02-09 22:37 | R              |    2   
    40 | remove dunst                                                                                                                                                                       | 2021-02-09 22:35 | Removed        |    1   
    39 | install -y xfce4-notifyd                                                                                                                                                           | 2021-02-09 22:26 | Install        |    7   
    38 | install -y screenfetch                                                                                                                                                             | 2021-02-09 22:16 | Install        |    1   
    37 | remove lpf-spotify-client                                                                                                                                                          | 2021-02-09 22:04 | Removed        |   11   
    36 | install code                                                                                                                                                                       | 2021-02-09 21:38 | Install        |    1   
    35 | -y builddep /usr/share/lpf/packages/spotify-client/spotify-client.spec                                                                                                             | 2021-02-09 21:29 | Install        |   15   
    34 | install lpf-spotify-client                                                                                                                                                         | 2021-02-09 21:29 | Install        |   33   
    33 | install pulseaudio-module-bluetooth-freeworld --allowerasing                                                                                                                       | 2021-02-09 21:28 | E, I           |   22   
    32 | install fedy -y                                                                                                                                                                    | 2021-02-09 21:27 | Install        |    1   
    31 | install -y https://download1.rpmfusion.org/free/fedora/rpmfusion-free-release-33.noarch.rpm https://download1.rpmfusion.org/nonfree/fedora/rpmfusion-nonfree-release-33.noarch.rpm | 2021-02-09 21:27 | Install        |    2   
    30 | upgrade                                                                                                                                                                            | 2021-02-09 21:26 | Upgrade        |    2   
    29 | install -y kmix                                                                                                                                                                    | 2021-02-09 21:12 | Install        |   61   
    28 | install -y xset xbacklight                                                                                                                                                         | 2021-02-09 20:46 | Install        |    1   
    27 | module install nodejs:12                                                                                                                                                           | 2021-02-09 20:40 | Install        |    7   
    26 | install -y feh                                                                                                                                                                     | 2021-02-09 18:56 | Install        |    2   
    25 | install ./BlueJeans_2.20.0.118.rpm                                                                                                                                                 | 2021-02-09 18:15 | Install        |    1 EE
    24 | install -y blueman                                                                                                                                                                 | 2021-02-09 18:07 | Install        |    1   
    23 | install -y dunst                                                                                                                                                                   | 2021-02-09 17:24 | Install        |    1   
    22 | install -y compton                                                                                                                                                                 | 2021-02-09 17:19 | Install        |    2   
    21 | install -y gvim                                                                                                                                                                    | 2021-02-09 17:18 | Install        |    1   
    20 | install -y xdotool                                                                                                                                                                 | 2021-02-09 17:11 | Install        |    2   
    19 | install -y maim                                                                                                                                                                    | 2021-02-09 17:09 | Install        |    3   
    18 | install -y network-manager-applet                                                                                                                                                  | 2021-02-09 17:02 | Install        |    1   
    17 | install -y ./redhat-internal-cert-install-0.1-20.el7.csb.noarch.rpm ./redhat-internal-NetworkManager-openvpn-profiles-0.1-39.el7.csb.noarch.rpm                                    | 2021-02-09 16:55 | Install        |    2 EE
    16 | install -y sysstat                                                                                                                                                                 | 2021-02-09 16:49 | Install        |    1 EE
    15 | install pasystray                                                                                                                                                                  | 2021-02-09 16:18 | Install        |    1   
    14 | install ./slack-4.12.2-0.1.fc21.x86_64.rpm                                                                                                                                         | 2021-02-09 15:55 | Install        |    5   
    13 | install lm_sensors                                                                                                                                                                 | 2021-02-09 15:48 | Install        |    2 EE
    12 | install xfontsel                                                                                                                                                                   | 2021-02-09 15:35 | Install        |    3   
    11 | install fontawesome-fonts                                                                                                                                                          | 2021-02-09 15:25 | Install        |    1   
    10 | install arandr                                                                                                                                                                     | 2021-02-09 15:04 | Install        |    1   
     9 | install acpi                                                                                                                                                                       | 2021-02-09 15:03 | Install        |    1   
     8 | install autoconf automake                                                                                                                                                          | 2021-02-09 15:01 | Install        |    8   
     7 | install xsel                                                                                                                                                                       | 2021-02-09 14:43 | Install        |    1   
     6 | install -y vim                                                                                                                                                                     | 2021-02-09 14:15 | Install        |    4   
     5 | install xclip                                                                                                                                                                      | 2021-02-09 14:09 | Install        |    1   
     4 | install docker                                                                                                                                                                     | 2021-02-09 12:55 | Install        |    2 EE
     3 | install i3                                                                                                                                                                         | 2021-02-09 12:44 | Install        |   22   
     2 | upgrade -y                                                                                                                                                                         | 2021-02-09 12:39 | I, U           |  759 EE
     1 |                                                                                                                                                                                    | 2020-10-19 19:35 | Install        | 1719 EE
